,Unnamed: 0,Name,URL,name_letter
120,120,The Great Chase London,https://www.tripadvisor.com/Restaurant_Review-g186338-d12697784-Reviews-The_Great_Chase_London-London_England.html,thegreatchaselondon
121,121,Cafe Van Gogh,https://www.tripadvisor.com/Restaurant_Review-g186338-d10191943-Reviews-Cafe_Van_Gogh-London_England.html,cafevangogh
122,122,Buenos Aires Argentine Steakhouse,https://www.tripadvisor.com/Restaurant_Review-g186338-d4242819-Reviews-Buenos_Aires_Argentine_Steakhouse-London_England.html,buenosairesargentinesteakhouse
123,123,Monkey Temple,https://www.tripadvisor.com/Restaurant_Review-g186338-d6759550-Reviews-Monkey_Temple-London_England.html,monkeytemple
124,124,Shahi Pakwaan,https://www.tripadvisor.com/Restaurant_Review-g186338-d12116313-Reviews-Shahi_Pakwaan-London_England.html,shahipakwaan
125,125,Memories of India Kensington,https://www.tripadvisor.com/Restaurant_Review-g186338-d1017393-Reviews-Memories_of_India_Kensington-London_England.html,memoriesofindiakensington
126,126,Fine Foods,https://www.tripadvisor.com/Restaurant_Review-g186338-d7015028-Reviews-Fine_Foods-London_England.html,finefoods
127,127,Tomo Pizzeria & Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d1801860-Reviews-Tomo_Pizzeria_Restaurant-London_England.html,tomopizzeria&restaurant
128,128,Home SW15,https://www.tripadvisor.com/Restaurant_Review-g186338-d12962245-Reviews-Home_SW15-London_England.html,homesw15
129,129,Treves & Hyde,https://www.tripadvisor.com/Restaurant_Review-g186338-d11768375-Reviews-Treves_Hyde-London_England.html,treves&hyde
130,130,Hard Rock Cafe Piccadilly Circus,https://www.tripadvisor.com/Restaurant_Review-g186338-d17728520-Reviews-Hard_Rock_Cafe_Piccadilly_Circus-London_England.html,hardrockcafepiccadillycircus
131,131,EaTurkish,https://www.tripadvisor.com/Restaurant_Review-g186338-d12213063-Reviews-EaTurkish-London_England.html,eaturkish
132,132,The Gojk,https://www.tripadvisor.com/Restaurant_Review-g186338-d13457082-Reviews-The_Gojk-London_England.html,thegojk
